user_id,age,sexe,nombre_commandes,categories_preferees,commande_id,date_commande,nombre_articles,montant_total,adresse_id,ville,province,pays
9,1941,M,4,,480,2023-06-09,4,284.00,,,,
15,2005,F,6,,481,2023-08-04,2,84.00,,,,
15,2005,F,6,,482,2023-09-05,4,366.00,,,,
16,1999,M,7,,483,2023-07-03,1,30.00,,,,
16,1999,M,7,,484,2023-11-30,5,682.00,,,,
16,1999,M,7,,485,2023-12-12,1,90.00,,,,
17,1942,M,5,,486,2023-11-16,1,66.00,17.0,Powellchester,Michigan,Kyrgyz Republic
17,1942,M,5,,487,2023-10-11,2,262.00,17.0,Powellchester,Michigan,Kyrgyz Republic
17,1942,M,5,,488,2023-07-19,2,327.98,17.0,Powellchester,Michigan,Kyrgyz Republic
20,1989,F,4,,489,2023-07-15,4,501.00,20.0,Lake Sarah,Tennessee,Moldova
21,1960,F,15,,490,2023-08-13,5,531.00,21.0,Burnsburgh,New Jersey,Swaziland
21,1960,F,15,,491,2023-03-04,5,936.00,21.0,Burnsburgh,New Jersey,Swaziland
21,1960,F,15,,492,2023-05-27,2,227.00,21.0,Burnsburgh,New Jersey,Swaziland
21,1960,F,15,,493,2023-09-30,3,195.00,21.0,Burnsburgh,New Jersey,Swaziland
22,1931,M,6,,494,2023-12-03,1,15.00,22.0,Allenshire,West Virginia,Libyan Arab Jamahiriya
22,1931,M,6,,495,2023-09-27,3,520.98,22.0,Allenshire,West Virginia,Libyan Arab Jamahiriya
22,1931,M,6,,496,2023-11-27,2,296.00,22.0,Allenshire,West Virginia,Libyan Arab Jamahiriya
23,1968,F,1,,497,2023-09-28,1,36.00,23.0,Lake Billyview,South Dakota,British Virgin Islands
24,1985,M,9,,498,2023-09-22,4,557.00,24.0,North Lorrainechester,Tennessee,Austria
24,1985,M,9,,499,2023-10-15,2,33.00,24.0,North Lorrainechester,Tennessee,Austria
24,1985,M,9,,500,2023-11-30,3,327.00,24.0,North Lorrainechester,Tennessee,Austria
25,1994,F,11,,501,2023-07-08,5,541.00,25.0,Lyonsside,Nevada,Cote d'Ivoire
25,1994,F,11,,502,2023-04-13,2,216.00,25.0,Lyonsside,Nevada,Cote d'Ivoire
25,1994,F,11,,503,2023-01-08,4,334.00,25.0,Lyonsside,Nevada,Cote d'Ivoire
26,1983,M,13,,504,2023-02-25,2,89.00,26.0,Louisport,South Carolina,Bouvet Island (Bouvetoya)
26,1983,M,13,,505,2023-06-21,1,261.00,26.0,Louisport,South Carolina,Bouvet Island (Bouvetoya)
26,1983,M,13,,506,2023-05-14,5,1161.00,26.0,Louisport,South Carolina,Bouvet Island (Bouvetoya)
26,1983,M,13,,507,2023-06-29,5,685.00,26.0,Louisport,South Carolina,Bouvet Island (Bouvetoya)
27,1952,M,5,,508,2023-02-07,5,334.00,27.0,South Yolandachester,California,Armenia
28,1933,M,11,,509,2023-08-28,3,212.00,28.0,Port Jacobberg,Montana,Brunei Darussalam
28,1933,M,11,,510,2023-10-10,1,102.00,28.0,Port Jacobberg,Montana,Brunei Darussalam
28,1933,M,11,,511,2023-05-31,1,14.00,28.0,Port Jacobberg,Montana,Brunei Darussalam
28,1933,M,11,,512,2023-07-08,3,354.00,28.0,Port Jacobberg,Montana,Brunei Darussalam
28,1933,M,11,,513,2023-04-29,3,268.00,28.0,Port Jacobberg,Montana,Brunei Darussalam
29,2006,M,19,,514,2023-11-26,4,355.00,29.0,North Scott,Arkansas,Saudi Arabia
29,2006,M,19,,515,2023-11-22,1,72.00,29.0,North Scott,Arkansas,Saudi Arabia
29,2006,M,19,,516,2023-07-29,5,526.00,29.0,North Scott,Arkansas,Saudi Arabia
29,2006,M,19,,517,2023-11-29,5,422.00,29.0,North Scott,Arkansas,Saudi Arabia
29,2006,M,19,,518,2023-08-19,4,180.00,29.0,North Scott,Arkansas,Saudi Arabia
30,1972,M,2,,519,2023-10-23,2,352.00,30.0,Sherryburgh,New Jersey,Lesotho
31,1955,F,4,,520,2023-06-23,3,229.00,31.0,East Jason,Michigan,Switzerland
31,1955,F,4,,521,2023-10-07,1,196.00,31.0,East Jason,Michigan,Switzerland
